Filename,Start,End,SDS,Query,Cost,Duration,Label
AK_Aalap1_Bag.csv,46.69,49.14,7,4,14.68,2.450000000000003,Unlike
AK_Aalap1_Bag.csv,46.74,49.14,7,5,15.38,2.3999999999999986,Unlike
AK_Aalap1_Bag.csv,59.370000000000005,62.34,8,0,1.85,2.969999999999999,Like
AK_Aalap1_Bag.csv,55.66,58.45,8,1,2.35,2.7900000000000063,Like
AK_Aalap1_Bag.csv,60.3,62.21000000000001,8,2,2.3,1.9100000000000108,Like
AK_Aalap1_Bag.csv,60.3,62.09,8,3,1.69,1.7900000000000063,Like
AK_Aalap1_Bag.csv,60.3,62.09,8,4,1.67,1.7900000000000063,Like
AK_Aalap1_Bag.csv,55.71000000000001,57.48,8,5,0.76,1.769999999999989,Like
AK_Aalap1_Bag.csv,91.66,92.84,11,0,1.53,1.1800000000000068,Unlike
AK_Aalap1_Bag.csv,79.94,80.68,11,1,2.71,0.7400000000000091,Unlike
AK_Aalap1_Bag.csv,79.94,80.60000000000001,11,2,2.3,0.6600000000000108,Unlike
AK_Aalap1_Bag.csv,90.93,92.68,11,3,1.06,1.75,Unlike
AK_Aalap1_Bag.csv,91.66,92.69,11,4,1.23,1.0300000000000011,Unlike
AK_Aalap1_Bag.csv,79.91,80.59,11,5,1.51,0.6800000000000068,Unlike
AK_Aalap1_Bag.csv,98.72,99.44,12,0,1.53,0.7199999999999989,Unlike
AK_Aalap1_Bag.csv,98.05,99.38,12,1,2.4,1.3299999999999983,Unlike
AK_Aalap1_Bag.csv,98.73,99.28,12,2,2.3,0.5499999999999972,Unlike
AK_Aalap1_Bag.csv,98.05,98.61,12,3,1.79,0.5600000000000023,Unlike
AK_Aalap1_Bag.csv,98.05,98.61,12,4,2.04,0.5600000000000023,Unlike
AK_Aalap1_Bag.csv,98.74,99.26,12,5,1.46,0.5200000000000102,Unlike
AK_Aalap1_Bag.csv,104.36,105.07,13,1,2.71,0.7099999999999937,Like
AK_Aalap1_Bag.csv,112.75,115.17,14,0,2.83,2.4200000000000017,Like
AK_Aalap1_Bag.csv,112.69,115.17,14,1,4.36,2.480000000000004,Like
AK_Aalap1_Bag.csv,112.69,115.22,14,2,3.24,2.530000000000001,Like
AK_Aalap1_Bag.csv,112.75,115.16,14,3,1.96,2.4099999999999966,Like
AK_Aalap1_Bag.csv,112.69,115.2,14,4,2.89,2.510000000000005,Like
AK_Aalap1_Bag.csv,112.75,115.19,14,5,3.14,2.4399999999999977,Like
AK_Aalap1_Bag.csv,128.63,129.76,15,0,1.29,1.1299999999999955,Like
AK_Aalap1_Bag.csv,120.25,120.84,15,1,1.62,0.5900000000000034,Like
AK_Aalap1_Bag.csv,128.64,129.82,15,2,2.12,1.1800000000000068,Like
AK_Aalap1_Bag.csv,128.64999999999998,129.53,15,3,1.28,0.8800000000000239,Like
AK_Aalap1_Bag.csv,128.64,129.54,15,4,0.93,0.9000000000000057,Like
AK_Aalap1_Bag.csv,128.64999999999998,129.61999999999998,15,5,2.31,0.9699999999999989,Like
AK_Aalap2_Bag.csv,1.4900000000000002,4.84,0,0,17.27,3.3499999999999996,Unlike
AK_Aalap2_Bag.csv,1.4600000000000009,4.84,0,1,17.63,3.379999999999999,Unlike
AK_Aalap2_Bag.csv,1.4600000000000009,5.32,0,2,10.36,3.8599999999999994,Unlike
AK_Aalap2_Bag.csv,1.4800000000000004,3.3200000000000003,0,3,14.92,1.8399999999999999,Unlike
AK_Aalap2_Bag.csv,1.4600000000000009,3.3200000000000003,0,4,15.0,1.8599999999999994,Unlike
AK_Aalap2_Bag.csv,1.4800000000000004,3.3200000000000003,0,5,15.69,1.8399999999999999,Unlike
AK_Aalap2_Bag.csv,9.91,10.7,1,0,17.24,0.7899999999999991,Like
AK_Aalap2_Bag.csv,9.91,10.7,1,1,17.6,0.7899999999999991,Like
AK_Aalap2_Bag.csv,9.94,10.7,1,2,16.06,0.7599999999999998,Like
AK_Aalap2_Bag.csv,9.96,10.7,1,3,14.88,0.7399999999999984,Like
AK_Aalap2_Bag.csv,9.91,10.7,1,4,14.84,0.7899999999999991,Like
AK_Aalap2_Bag.csv,9.96,10.7,1,5,15.58,0.7399999999999984,Like
AK_Aalap2_Bag.csv,29.27,30.24,4,0,21.78,0.9699999999999989,Unlike
AK_Aalap2_Bag.csv,29.32,30.24,4,2,20.59,0.9199999999999982,Unlike
AK_Aalap2_Bag.csv,29.34,30.24,4,3,19.55,0.8999999999999986,Unlike
AK_Aalap2_Bag.csv,29.27,30.24,4,4,19.36,0.9699999999999989,Unlike
AK_Aalap2_Bag.csv,29.35,30.24,4,5,20.31,0.889999999999997,Unlike
AK_Aalap2_Bag.csv,32.36,36.47,5,0,2.89,4.109999999999999,Like
AK_Aalap2_Bag.csv,32.349999999999994,35.61,5,1,2.01,3.260000000000005,Like
AK_Aalap2_Bag.csv,32.370000000000005,34.900000000000006,5,2,2.87,2.530000000000001,Like
AK_Aalap2_Bag.csv,32.370000000000005,33.7,5,3,2.31,1.3299999999999983,Like
AK_Aalap2_Bag.csv,32.36,33.81,5,4,2.28,1.4500000000000028,Like
AK_Aalap2_Bag.csv,32.379999999999995,33.81,5,5,1.16,1.4300000000000068,Like
AK_Aalap2_Bag.csv,39.97,40.92,6,0,9.95,0.9500000000000028,Unlike
AK_Aalap2_Bag.csv,39.97,40.92,6,1,10.66,0.9500000000000028,Unlike
